w,y,chain,latitude,longitude
13300,44350,Loran9960,43.015,69.60667
13310,44350,Loran9960,43.00667,69.62667
13320,44350,Loran9960,42.98333,69.64833
13330,44350,Loran9960,42.99167,69.66833
13340,44350,Loran9960,42.985,69.69
13350,44350,Loran9960,42.97667,69.71
13360,44350,Loran9960,42.97,69.73
13370,44350,Loran9960,42.96333,69.75167
13380,44350,Loran9960,42.955,69.77167
13390,44350,Loran9960,42.94833,69.79333
13400,44350,Loran9960,42.94,69.81333
13410,44350,Loran9960,42.91667,69.835
13420,44350,Loran9960,42.925,69.855
13430,44350,Loran9960,42.91833,69.875
13440,44350,Loran9960,42.91167,69.89667
13450,44350,Loran9960,42.90333,69.9
13460,44350,Loran9960,42.89667,69.93667
13470,44350,Loran9960,42.88833,69.95833
13480,44350,Loran9960,42.88167,69.97833
13490,44350,Loran9960,42.875,69.99833
13500,44350,Loran9960,42.86667,70.01833
13510,44350,Loran9960,42.86,70.04
13520,44350,Loran9960,42.85167,70.06
13530,44350,Loran9960,42.845,70.08
13540,44350,Loran9960,42.83833,70.1
13550,44350,Loran9960,42.83,70.12
13560,44350,Loran9960,42.82333,70.14167
13570,44350,Loran9960,42.8,70.16167
13580,44350,Loran9960,42.80833,70.18167
13590,44350,Loran9960,42.80167,70.20167
